C:\Simcenter\Testxpress\ProjectData\BMW_GS_Test_260907\Data\Down_128.xdf,07.09.26,13:55:01,,,
,M4: Comp_Name_plate_x : SORD(C1,R1) Time[s],M4: Comp_Name_plate_x : SORD(C1,R1) [g],M5: Comp_Name_plate_x : LEVEL(C1) Time[s],M5: Comp_Name_plate_x : LEVEL(C1) [g],M6: Comp_Name_plate_y : SORD(C2,R1) Time[s],M6: Comp_Name_plate_y : SORD(C2,R1) [g],M7: Comp_Name_plate_y : LEVEL(C2) Time[s],M7: Comp_Name_plate_y : LEVEL(C2) [g],M8: Comp_Name_plate_z : SORD(C3,R1) Time[s],M8: Comp_Name_plate_z : SORD(C3,R1) [g],M9: Comp_Name_plate_z : LEVEL(C3) Time[s],M9: Comp_Name_plate_z : LEVEL(C3) [g],M10: LEVEL(R1) Time[s],M10: LEVEL(R1) [rpm]
Unit,s,g,s,g,s,g,s,g,s,g,s,g,s,rpm
Sensor,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,Tacho1
PointDir,,'',,'',,'',,'',,'',,'',,''
Info1,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,
,1.750000000,0.000000000,1.750000000,0.004381571,1.750000000,0.000000000,1.750000000,0.003353957,1.750000000,0.000000000,1.750000000,0.008979451,1.750000000,0.000000000
,1.765625000,0.000000000,1.765625000,0.004323755,1.765625000,0.000000000,1.765625000,0.003384090,1.765625000,0.000000000,1.765625000,0.008845252,1.765625000,0.000000000
,1.781250000,0.000000000,1.781250000,0.004334610,1.781250000,0.000000000,1.781250000,0.003391838,1.781250000,0.000000000,1.781250000,0.008626288,1.781250000,0.000000000
,1.796875000,0.000000000,1.796875000,0.004311426,1.796875000,0.000000000,1.796875000,0.003442440,1.796875000,0.000000000,1.796875000,0.008390901,1.796875000,0.000000000
,1.812500000,0.000000000,1.812500000,0.004265138,1.812500000,0.000000000,1.812500000,0.003455359,1.812500000,0.000000000,1.812500000,0.008057766,1.812500000,0.000000000
,1.828125000,0.000000000,1.828125000,0.004256941,1.828125000,0.000000000,1.828125000,0.003486687,1.828125000,0.000000000,1.828125000,0.007731682,1.828125000,0.000000000
,1.843750000,0.000000000,1.843750000,0.004179727,1.843750000,0.000000000,1.843750000,0.003611841,1.843750000,0.000000000,1.843750000,0.007397157,1.843750000,0.000000000
,1.859375000,0.000000000,1.859375000,0.004115224,1.859375000,0.000000000,1.859375000,0.003737467,1.859375000,0.000000000,1.859375000,0.007043156,1.859375000,0.000000000
,1.875000000,0.000000000,1.875000000,0.004090570,1.875000000,0.000000000,1.875000000,0.003818368,1.875000000,0.000000000,1.875000000,0.006778287,1.875000000,0.000000000
,1.890625000,0.000000000,1.890625000,0.004045370,1.890625000,0.000000000,1.890625000,0.003850059,1.890625000,0.000000000,1.890625000,0.006503574,1.890625000,0.000000000
,1.906250000,0.000000000,1.906250000,0.004023426,1.906250000,0.000000000,1.906250000,0.003760892,1.906250000,0.000000000,1.906250000,0.006324020,1.906250000,0.000000000
,1.921875000,0.000000000,1.921875000,0.003988431,1.921875000,0.000000000,1.921875000,0.003687735,1.921875000,0.000000000,1.921875000,0.006078351,1.921875000,0.000000000
,1.937500000,0.000000000,1.937500000,0.004016477,1.937500000,0.000000000,1.937500000,0.003627652,1.937500000,0.000000000,1.937500000,0.006053518,1.937500000,0.000000000
,1.953125000,0.000000000,1.953125000,0.004071738,1.953125000,0.000000000,1.953125000,0.003605855,1.953125000,0.000000000,1.953125000,0.005981917,1.953125000,0.000000000
,1.968750000,0.000000000,1.968750000,0.004046460,1.968750000,0.000000000,1.968750000,0.003635851,1.968750000,0.000000000,1.968750000,0.005845228,1.968750000,0.000000000
