C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,96.875,-0.0651294,-0.0434584,96.875,0.5713709,0.2308189,96.875,-1.6569563,-0.7088311,96.875,0.0357118,0.0174019,96.875,-0.1495505,-0.0004578,96.875,0.1971193,-0.4490858
,98.4375,0.0025308,-0.0934898,98.4375,0.1981217,0.5414122,98.4375,-0.5392142,-1.7004162,98.4375,0.0015771,-0.0403449,98.4375,-0.0959731,-0.1051661,98.4375,0.4942316,-0.1306407
,100,0.0823339,-0.0768688,100,-0.2599166,0.4508798,100,0.8675714,-1.488462,100,0.0472386,-0.0072511,100,0.042501,-0.1126717,100,0.4045547,0.2828148
,101.5625,0.1151602,0.0605848,101.5625,-0.498436,-0.0889522,101.5625,1.6803064,0.2902468,101.5625,-0.0041317,-0.0599074,101.5625,0.1192529,-0.0174386,101.5625,-0.1575506,0.4800733
,103.125,-0.058106,0.1213746,103.125,0.0617822,-0.4834268,103.125,-0.0453477,1.6769514,103.125,0.0704299,0.0207247,103.125,0.0224242,0.1170948,103.125,-0.4992963,-0.1495582
,104.6875,-0.1541122,-0.0436014,104.6875,0.4742923,0.0085542,104.6875,-1.6784006,0.0656871,104.6875,0.0645495,0.0488917,104.6875,-0.1174745,0.0294416,104.6875,0.1113186,-0.5322284
,106.25,0.0394725,-0.162079,106.25,0.0052828,0.4603258,106.25,-0.1023638,-1.6481382,106.25,0.0855121,-0.0332615,106.25,-0.0357772,-0.1170426,106.25,0.5362692,0.1161436
,107.8125,-0.1620809,-0.0543341,107.8125,0.4311291,0.0324739,107.8125,-1.6093045,-0.0280341,107.8125,-0.1006101,0.0149923,107.8125,-0.112582,0.0349706,107.8125,0.1958417,-0.5423257
,109.375,-0.0576126,0.1720341,109.375,0.0991481,-0.4113992,109.375,-0.2735434,1.5807635,109.375,-0.09453,-0.080886,109.375,0.02115,0.116962,109.375,-0.4819815,-0.3015499
,110.9375,-0.1822514,0.0216838,110.9375,-0.3598687,-0.184286,110.9375,1.4907292,0.623719,110.9375,0.1424257,0.017553,110.9375,-0.1337549,0.0065339,110.9375,-0.4289765,0.394217
,112.5,-0.191535,-0.1463383,112.5,-0.3721823,0.1063169,112.5,1.4954066,-0.5529316,112.5,0.1308673,0.0809722,112.5,-0.1311935,-0.0916302,112.5,-0.0671149,0.6096047
,114.0625,0.1266063,-0.2582297,114.0625,-0.1791785,0.3026959,114.0625,0.617792,-1.450587,114.0625,-0.0959235,0.1407386,114.0625,0.0683572,-0.1739994,114.0625,0.3632627,0.4887487
